Category: All categories

Week,Python: (Worldwide),Java: (Worldwide),C++: (Worldwide),R: (Worldwide),JavaScript: (Worldwide)
2019-09-22,63,59,20,15,45
2019-09-29,62,55,20,15,43
2019-10-06,60,56,21,15,42
2019-10-13,64,59,22,15,45
2019-10-20,61,59,20,15,44
2019-10-27,60,50,19,14,40
2019-11-03,63,59,21,15,44
2019-11-10,64,57,21,16,44
2019-11-17,69,58,21,16,45
2019-11-24,61,53,19,14,44
2019-12-01,62,55,19,15,41
2019-12-08,60,53,19,14,42
2019-12-15,59,51,18,14,42
2019-12-22,41,38,13,10,29
2019-12-29,41,36,11,10,28
2020-01-05,55,50,16,12,40
2020-01-12,60,52,17,13,42
2020-01-19,59,53,18,14,41
2020-01-26,61,54,19,14,43
2020-02-02,63,53,18,14,43
2020-02-09,65,55,18,15,46
2020-02-16,69,58,20,15,45
2020-02-23,67,55,20,15,44
2020-03-01,65,53,20,15,45
2020-03-08,60,49,18,14,41
2020-03-15,55,47,16,13,39
2020-03-22,61,49,17,14,38
2020-03-29,61,49,18,15,41
2020-04-05,64,47,18,15,41
2020-04-12,65,51,18,15,41
2020-04-19,67,50,18,15,44
2020-04-26,62,45,18,16,40
2020-05-03,65,46,17,15,41
2020-05-10,66,48,18,15,43
2020-05-17,62,46,18,15,42
2020-05-24,61,46,17,14,41
2020-05-31,59,47,16,15,42
2020-06-07,60,46,17,14,42
2020-06-14,61,42,16,14,40
2020-06-21,60,48,16,14,42
2020-06-28,55,44,16,14,41
2020-07-05,61,45,15,13,43
2020-07-12,63,47,17,13,42
2020-07-19,61,46,15,13,42
2020-07-26,60,46,15,13,41
2020-08-02,59,43,14,13,40
2020-08-09,59,44,15,13,39
2020-08-16,61,45,15,14,41
2020-08-23,55,44,15,13,40
2020-08-30,59,45,16,14,41
2020-09-06,62,46,17,14,40
2020-09-13,62,48,18,15,39
2020-09-20,62,49,18,15,40
2020-09-27,58,43,18,14,35
2020-10-04,56,45,18,14,34
2020-10-11,50,41,17,13,32
2020-10-18,53,44,16,13,33
2020-10-25,52,43,16,13,32
2020-11-01,46,37,15,12,29
2020-11-08,51,39,16,13,31
2020-11-15,52,40,16,13,29
2020-11-22,47,38,16,12,30
2020-11-29,48,39,16,13,31
2020-12-06,50,39,16,13,31
2020-12-13,50,39,15,12,31
2020-12-20,42,31,12,10,26
2020-12-27,36,27,11,10,23
2021-01-03,43,36,13,11,29
2021-01-10,48,36,13,11,30
2021-01-17,51,41,15,12,35
2021-01-24,49,39,15,12,33
2021-01-31,51,39,15,12,31
2021-02-07,50,39,14,12,30
2021-02-14,49,40,15,12,32
2021-02-21,52,42,17,12,33
2021-02-28,53,43,18,13,33
2021-03-07,54,39,17,13,33
2021-03-14,57,44,19,13,34
2021-03-21,54,40,17,13,31
2021-03-28,53,41,17,12,32
2021-04-04,53,40,17,12,31
2021-04-11,56,41,17,13,33
2021-04-18,55,43,17,13,33
2021-04-25,53,40,16,13,32
2021-05-02,51,37,16,12,31
2021-05-09,52,38,16,12,32
2021-05-16,53,41,16,13,34
2021-05-23,54,39,17,12,33
2021-05-30,52,39,18,12,33
2021-06-06,53,39,17,12,34
2021-06-13,52,39,15,12,34
2021-06-20,53,39,15,12,35
2021-06-27,49,40,13,11,33
2021-07-04,48,38,13,11,33
2021-07-11,50,38,13,11,34
2021-07-18,50,39,13,12,32
